#{"t_start": 1775959170.776017, "env_id": "None"}
r,l,t
-1439.185063,464,28.246491
-1484.502158,466,28.317429
-308.422215,480,28.389992
-488.541357,480,28.462405
-1424.077965,468,28.761362
-1488.190318,473,28.830956
-746.776184,480,28.902552
-520.025822,480,28.97572
-1757.392736,472,29.277457
-1394.036605,467,29.347791
-1441.217409,475,29.419781
-289.198839,480,29.491912
-324.489621,480,29.561958
-1800.910493,479,29.861531
-499.199218,480,29.933043
-303.03332,480,30.004107
-1370.424372,467,30.07392
-298.218351,480,30.376368
-258.340598,480,30.448778
-659.669702,480,30.519911
-524.87164,480,30.591912
-992.370906,480,30.893355
-787.784836,480,30.96652
-644.33181,480,31.037411
-1028.695364,480,31.108866
-316.018108,480,31.18052
-496.403172,480,31.479312
-363.074832,480,31.552006
-617.745959,480,31.625861
-267.668793,480,31.696755
-471.576777,480,32.003291
-1422.063853,476,32.075512
-228.902402,480,32.146903
-1599.737554,465,32.216102
-578.207153,480,32.519409
-331.435119,480,32.592124
-276.753782,480,32.664809
-397.857682,480,32.736111
-1856.370749,475,33.038507
-226.632298,480,33.112221
-232.138584,480,33.185052
-158.189134,480,33.257112
-392.37307,480,33.32947
-1013.721402,480,33.676441
-877.562858,480,33.748917
-1256.745632,480,33.82025
-1402.828248,480,33.890758
-512.597523,480,34.196242
-1548.033216,475,34.268885
-1616.137369,480,34.340708
-226.164023,480,34.411642
-760.23569,480,34.715215
-885.726668,480,34.786698
-1441.816426,472,34.858006
-243.908537,480,34.928373
-813.246253,480,35.00109
-351.672968,480,35.302582
-626.173547,480,35.373014
-425.287404,480,35.446396
-258.173509,480,35.518124
-128.040701,480,35.820801
-183.821888,480,35.891907
-394.477386,480,35.964158
-576.205995,480,36.036703
-1089.613165,480,36.33961
-623.549197,480,36.411991
-343.265702,480,36.484984
-384.880599,480,36.558046
-510.283753,480,36.859028
-305.741398,480,36.930256
-372.432422,480,37.003426
-187.120717,480,37.074801
-451.840004,480,37.145798
-297.380963,480,37.466756
-303.119106,480,37.539209
-556.701527,480,37.610033
-190.823909,480,37.679498
-277.801016,480,37.981627
-346.999601,480,38.054046
-492.29321,480,38.127042
-391.449956,480,38.197474
-166.491182,480,38.500198
-288.877109,480,38.572004
-291.977604,480,38.644378
-131.768006,480,38.71555
-161.662872,480,39.018176
-277.942204,480,39.090405
-297.510262,480,39.162892
-499.488049,480,39.234618
-381.283591,480,39.307443
-223.199387,480,39.610435
-227.326086,480,39.681286
-150.686226,480,39.752707
-237.311964,480,39.823662
-271.432263,480,40.12725
-189.258147,480,40.202681
-406.489878,480,40.274133
-365.681299,480,40.34615
-227.355352,480,40.646874
-197.999711,480,40.718891
-231.74719,480,40.791501
-147.264667,480,40.863706
-272.108787,480,41.166035
-255.008875,480,41.239225
-415.123813,480,41.3122
-299.256968,480,41.385325
-223.817731,480,41.455815
-119.625325,480,41.758956
-152.383518,480,41.830465
-258.368252,480,41.901281
-223.941405,480,41.973174
-178.902185,480,42.277686
-311.72176,480,42.348599
-300.4092,480,42.419886
-154.608922,480,42.490964
-160.676509,480,42.791042
-167.162229,480,42.86387
-99.308638,480,42.935298
-345.173953,480,43.008913
-350.879405,480,43.08246
-245.247661,480,43.38591
-140.632583,480,43.456817
-132.919729,480,43.528335
-155.344339,480,43.599635
-263.171271,480,43.900171
-170.562764,480,43.973584
-293.741147,480,44.046951
-234.44648,480,44.118049
-157.899997,480,44.418371
-210.984892,480,44.491472
-246.974184,480,44.564069
-261.658979,480,44.634775
-236.78615,480,44.939488
-182.038916,480,45.012514
-172.006978,480,45.084914
-165.600838,480,45.156666
-147.115253,480,45.228255
-226.993315,480,45.532698
-102.499827,480,45.605947
-293.231607,480,45.67657
-164.71966,480,45.748217
-114.246747,480,46.051172
-226.535519,480,46.12335
-221.118217,480,46.19482
-178.058798,480,46.267506
-182.298891,480,46.570231
-98.020706,480,46.640683
-260.275146,480,46.713573
-210.099425,480,46.786106
-192.268731,480,47.089165
-118.306842,480,47.160927
-252.150645,480,47.232744
-235.276717,480,47.304841
-132.477382,480,47.375901
-168.976673,480,47.693112
-153.650337,480,47.765168
-163.163044,480,47.836707
-114.841282,480,47.906678
-204.59818,480,48.215976
-151.964928,480,48.287742
-187.124621,480,48.360016
-146.635494,480,48.430712
-128.778376,480,48.736564
-144.149494,480,48.809109
-175.447162,480,48.881583
-88.462446,480,48.952817
-161.002738,480,49.256351
-162.578586,480,49.328334
-131.166451,480,49.399923
-129.408259,480,49.470293
-213.724231,480,49.543484
-84.067413,480,49.850653
-111.573826,480,49.922929
-160.981341,480,49.994559
-140.737953,480,50.066973
-107.596905,480,50.379118
-164.232584,480,50.452838
-106.837218,480,50.525001
-95.242866,480,50.597137
-139.300543,480,50.898136
-203.241122,480,50.971628
-96.441652,480,51.047284
-211.010783,480,51.120703
-166.929536,480,51.193474
-84.613329,480,51.498567
-106.780667,480,51.570304
-132.569336,480,51.642511
-107.903368,480,51.713766
-157.750583,480,52.015604
-109.30232,480,52.088541
-122.298185,480,52.160886
-104.260922,480,52.232191
-96.897331,480,52.538473
-132.285756,480,52.611078
-156.650679,480,52.682857
-142.543782,480,52.753366
-105.923008,480,53.058947
-148.374205,480,53.13226
-80.949554,480,53.204441
-149.502425,480,53.280362
-257.78766,480,53.352171
-99.651901,480,53.655812
-81.53107,480,53.727962
-138.331273,480,53.799873
-98.338767,480,53.871108
-99.091456,480,54.177315
-141.831224,480,54.250608
-194.276116,480,54.321272
-111.438161,480,54.393658
-67.728987,480,54.696541
-161.45587,480,54.767964
-81.74161,480,54.839413
-125.431041,480,54.910709
-107.781715,480,55.211365
-63.797585,480,55.283637
-117.30572,480,55.355394
-107.539387,480,55.43123
-101.928281,480,55.504708
-84.629058,480,55.808201
-109.599772,480,55.880083
-218.892473,480,55.952075
-141.139967,480,56.022213
-131.825421,480,56.326495
-108.723822,480,56.398788
-105.561035,480,56.471071
-89.067073,480,56.541941
-71.58834,480,56.84477
-149.023002,480,56.917549
-161.644073,480,56.989245
-89.698215,480,57.059432
-105.704734,480,57.361643
-106.745848,480,57.434522
-136.982583,480,57.505631
-121.7517,480,57.584074
-121.55151,480,57.656262
-84.440679,480,57.980752
-78.73631,480,58.054419
-164.97878,480,58.125796
-136.874161,480,58.197717
-59.304577,480,58.502446
-98.102843,480,58.574535
-117.589468,480,58.646126
-109.564942,480,58.718156
-146.829561,480,59.021413
-71.62655,480,59.092835
-86.856648,480,59.166424
-124.847841,480,59.237501
-85.012725,480,59.310315
-62.310429,480,59.610732
-179.415915,480,59.683816
-101.589807,480,59.754944
-96.517675,480,59.825101
-124.646886,480,60.129722
-80.491901,480,60.202247
-76.38164,480,60.274983
-77.893973,480,60.344771
-101.104509,480,60.647385
-134.751356,480,60.720383
-107.720297,480,60.793361
-76.910716,480,60.864303
-40.385456,480,61.168749
-65.186488,480,61.240821
-55.199556,480,61.313483
-100.139783,480,61.384167
-91.165155,480,61.455973
-69.883581,480,61.759277
-84.248809,480,61.832075
-73.525107,480,61.907129
-75.453727,480,61.980104
-63.831072,480,62.283855
-76.66853,480,62.355455
-142.091189,480,62.42771
-137.516765,480,62.499306
-92.992168,480,62.8008
-89.327424,480,62.870668
-61.746502,480,62.941887
-112.452829,480,63.015759
-197.869226,480,63.319287
-96.756461,480,63.389789
-77.005712,480,63.461539
-135.213613,480,63.532907
-54.908359,480,63.603305
-86.639392,480,63.919458
-121.441013,480,63.992527
-88.80281,480,64.065027
-74.330929,480,64.135629
-82.18596,480,64.439681
-44.702505,480,64.511999
-93.52447,480,64.584556
-89.49833,480,64.655932
-106.00246,480,64.958764
