Strategy,RMSE_Joint0 (rad),RMSE_Joint1 (rad),Max_Error_J0 (rad),Max_Error_J1 (rad),Weighted_MSE_Cost,Total_Bits,Transmission_Rate (%)
Ideal,0.01458361878434915,0.1542478319978813,0.031615394439362954,0.2622344110412038,0.23647433052326797,245760,100.0
ETC_Only,0.015261456058259291,0.15503891642593395,0.038271330158189176,0.26345132143181826,0.25694910662470694,50176,20.416666666666668
Uniform_ETC,0.10880047595134418,0.1879056936206959,0.21497436832411582,0.378153483996468,11.872852116934098,15296,99.58333333333333
LQR_Weighted_ETC,0.023515080004751665,0.20028556228382743,0.05293014158020887,0.3404592456227174,0.5930732940892204,15264,99.375
PPO_RL_Dynamic,0.04265400874853149,0.5289944652788113,0.1478240943112948,1.0439321574828515,2.099199606615416,15168,98.75
