time,q0_real,q1_real,q0_target,q1_target,triggered,bits_used
0.0,0.0,0.0,0.0,0.0,0,0
0.004166666666666667,0.003260538812048274,-2.768247175565381e-05,0.004166618441525474,-1.73610106419253e-05,1,16
0.008333333333333333,0.007293517199555901,-6.284895725552251e-05,0.00833294753622253,-6.944283694904074e-05,1,16
0.0125,0.011179217708607133,-9.863729096918383e-05,0.012498697957356166,-0.00015624186214868718,0,0
0.016666666666666666,0.015056210273878842,-0.00013718435326327713,0.01666358041837681,-0.0002777520585657278,0,0
0.020833333333333332,0.019060232669654266,-0.00018062256698212872,0.020827305693009543,-0.00043396498804093575,0,0
0.025,0.023323961355007427,-0.00023111919829306917,0.024989584635339165,-0.0006248698025168586,0,0
0.029166666666666667,0.027977375307641494,-0.00029084532405026283,0.029150128199889616,-0.0008504532447915492,1,16
0.03333333333333333,0.03210729019634117,-0.0003531826892479816,0.0333086474616965,-0.0011106996494388288,1,16
0.0375,0.036098405610537225,-0.0004225295487409208,0.03746485363637117,-0.001405590943896251,0,0
0.041666666666666664,0.04008741168251189,-0.0005012421695611193,0.041618458100155124,-0.0017351066497202638,0,0
0.04583333333333333,0.044208255656109925,-0.0005916341417352069,0.045769172409963164,-0.002099223884008128,0,0
0.05,0.048591807972328066,-0.0006960938811318264,0.04991670832341408,-0.0024979173609870897,0,0
0.05416666666666667,0.05336621562233026,-0.0008170024017189437,0.054060777818847335,-0.002931159393770477,1,16
0.058333333333333334,0.057616461062513544,-0.0009479539174491676,0.05820109311532449,-0.003398919896279995,1,16
0.0625,0.06172537344802236,-0.0010935561422833607,0.062337366692613846,-0.003901166385335497,0,0
0.06666666666666667,0.06582767384349718,-0.0012563955784394415,0.06646931131115703,-0.004437863982910295,0,0
0.07083333333333333,0.07005557721039485,-0.0014389666059508492,0.07059664003201609,-0.005008975418553718,0,0
0.075,0.07453792307015113,-0.00164389333123462,0.07471906623679961,-0.005614461031978879,1,16
0.07916666666666666,0.07900040494407597,-0.0018703945383498728,0.07883630364756676,-0.006254278775816968,1,16
0.08333333333333333,0.08357442544446518,-0.002121140510180761,0.08294806634670751,-0.0069283842185374755,1,16
0.0875,0.08734761535948493,-0.002390028546181806,0.08705406879679797,-0.007636730547533277,1,16
0.09166666666666666,0.09110572612883004,-0.0026853553774140947,0.0911540258604292,-0.008379268572371756,1,16
0.09583333333333333,0.09497866936348381,-0.0030099026613649538,0.09524765282000835,-0.009155946728210684,1,16
0.1,0.09869258448386793,-0.0033630963378350315,0.09933466539753061,-0.009966711079379187,1,16
0.10416666666666667,0.10237926867411157,-0.00374782809401569,0.10341477977432052,-0.010811505323123138,1,16
0.10833333333333334,0.10616757538026893,-0.004166994992731873,0.10748771261074165,-0.01169027079351509,1,16
0.1125,0.11018291949688162,-0.004623526396690365,0.11155318106587273,-0.012602946465528342,1,16
0.11666666666666667,0.11454819719693742,-0.005120377613054342,0.11561090281714928,-0.013549468959274669,1,16
0.12083333333333333,0.11898322984709798,-0.0056571436081476,0.1196605960799693,-0.014529772544405739,1,16
0.125,0.123212820054432,-0.006233493591920493,0.12370197962726147,-0.015543789144677633,1,16
0.12916666666666665,0.12736679871198908,-0.0068525540503922705,0.12773477280901466,-0.01659144834267834,1,16
0.13333333333333333,0.13157175132826157,-0.007517480020950266,0.13175869557176753,-0.01767267738471806,1,16
0.1375,0.13595120464694505,-0.008231447682083157,0.13577346847805644,-0.018787401185881014,1,16
0.14166666666666666,0.13982662407399488,-0.008990907168150177,0.13977881272582077,-0.019935542335240197,1,16
0.14583333333333334,0.14333135194171187,-0.009799177440870294,0.14377445016776408,-0.021117021101232814,1,16
0.15,0.14723389385604366,-0.010664998179039377,0.14776010333066977,-0.02233175543719701,1,16
0.15416666666666667,0.15100974445688023,-0.01158628430766302,0.15173549543467,-0.023579660987069928,1,16
0.15833333333333333,0.15478317590325077,-0.012566444133025934,0.15570035041246616,-0.02486065109124541,1,16
0.1625,0.15867533372919507,-0.013608899229623321,0.15965439292850048,-0.026174636792592132,1,16
0.16666666666666666,0.1628037006583797,-0.014717115575804334,0.1635973483980761,-0.02752152684263115,1,16
0.17083333333333334,0.16648745434582973,-0.015887875949381194,0.16752894300642565,-0.028901227707872512,1,16
