time,q0_real,q1_real,q0_target,q1_target,triggered,bits_used
0.0,0.0,0.0,0.0,0.0,0,0
0.004166666666666667,0.003260538812048274,-2.768247175565381e-05,0.004166618441525474,-1.73610106419253e-05,1,16
0.008333333333333333,0.007293517199555901,-6.284895725552251e-05,0.00833294753622253,-6.944283694904074e-05,1,16
0.0125,0.011819176061700555,-0.00010405334928523031,0.012498697957356166,-0.00015624186214868718,1,16
0.016666666666666666,0.016963207410803514,-0.000153321167421901,0.01666358041837681,-0.0002777520585657278,1,16
0.020833333333333332,0.020288959645024075,-0.00019102170928739863,0.020827305693009543,-0.00043396498804093575,1,16
0.025,0.02412766206723815,-0.00023792494363211476,0.024989584635339165,-0.0006248698025168586,1,16
0.029166666666666667,0.028603637547248956,-0.00029615869709808415,0.029150128199889616,-0.0008504532447915492,1,16
0.03333333333333333,0.03383876340731387,-0.0003678630656751006,0.0333086474616965,-0.0011106996494388288,1,16
0.0375,0.036992284150867916,-0.00043013192094487054,0.03746485363637117,-0.001405590943896251,1,16
0.041666666666666664,0.040799705202683646,-0.0005073017991736977,0.041618458100155124,-0.0017351066497202638,1,16
0.04583333333333333,0.04538149909323134,-0.0006016186125742996,0.045769172409963164,-0.002099223884008128,1,16
0.05,0.05045553107949007,-0.0007119473841542663,0.04991670832341408,-0.0024979173609870897,1,16
0.05416666666666667,0.05358504908976014,-0.0008189628793643373,0.054060777818847335,-0.002931159393770477,1,16
0.058333333333333334,0.057501772371411894,-0.0009471129171698154,0.05820109311532449,-0.003398919896279995,1,16
0.0625,0.061921995846501196,-0.0010953742682818387,0.062337366692613846,-0.003901166385335497,1,16
0.06666666666666667,0.06696765149016987,-0.001266192868795513,0.06646931131115703,-0.004437863982910295,1,16
0.07083333333333333,0.07019841576207472,-0.0014403653003254276,0.07059664003201609,-0.005008975418553718,1,16
0.075,0.07394157418282023,-0.0016390667554523977,0.07471906623679961,-0.005614461031978879,1,16
0.07916666666666666,0.07831756302494114,-0.001864854782758262,0.07883630364756676,-0.006254278775816968,1,16
0.08333333333333333,0.08344432101459037,-0.0021203057642511934,0.08294806634670751,-0.0069283842185374755,1,16
0.0875,0.08647751431185594,-0.0023829617439156668,0.08705406879679797,-0.007636730547533277,1,16
0.09166666666666666,0.0901483182081898,-0.0026775626641786852,0.0911540258604292,-0.008379268572371756,1,16
0.09583333333333333,0.09457312549604086,-0.0030068008736049744,0.09524765282000835,-0.009155946728210684,1,16
0.1,0.09946575034686468,-0.0033699986400008903,0.09933466539753061,-0.009966711079379187,1,16
0.10416666666666667,0.10494489998747678,-0.0037699593565917807,0.10341477977432052,-0.010811505323123138,1,16
0.10833333333333334,0.10816833191777313,-0.004184457763029166,0.10748771261074165,-0.01169027079351509,1,16
0.1125,0.11186730125716501,-0.004638413911361831,0.11155318106587273,-0.012602946465528342,1,16
0.11666666666666667,0.11615885315564993,-0.005134743540012763,0.11561090281714928,-0.013549468959274669,1,16
0.12083333333333333,0.12115772232980798,-0.005676385313421072,0.1196605960799693,-0.014529772544405739,1,16
0.125,0.1240186921837818,-0.006241280841305522,0.12370197962726147,-0.015543789144677633,1,16
0.12916666666666665,0.12746758759121388,-0.006854450544079123,0.12773477280901466,-0.01659144834267834,1,16
0.13333333333333333,0.13161725039744354,-0.007518957211711682,0.13175869557176753,-0.01767267738471806,1,16
0.1375,0.13617836345030007,-0.008234512401157761,0.13577346847805644,-0.018787401185881014,1,16
0.14166666666666666,0.14126611607148035,-0.009004296260768558,0.13977881272582077,-0.019935542335240197,1,16
0.14583333333333334,0.1440402506949861,-0.009806532468261605,0.14377445016776408,-0.021117021101232814,1,16
0.15,0.14722364870862115,-0.010666381580468967,0.14776010333066977,-0.02233175543719701,1,16
0.15416666666666667,0.15092958685463595,-0.011587138330071325,0.15173549543467,-0.023579660987069928,1,16
0.15833333333333333,0.15526829695394778,-0.012572136785893594,0.15570035041246616,-0.02486065109124541,1,16
0.1625,0.15994893835611007,-0.013621381887595171,0.15965439292850048,-0.026174636792592132,1,16
0.16666666666666666,0.1650839007518248,-0.014738330997419445,0.1635973483980761,-0.02752152684263115,1,16
0.17083333333333334,0.16823981778828997,-0.01590496998897715,0.16752894300642565,-0.028901227707872512,1,16
