time,q0_real,q1_real,q0_target,q1_target,triggered,bits_used
0.0,0.0,0.0,0.0,0.0,0,0
0.004166666666666667,0.003260538812048274,-2.768247175565381e-05,0.004166618441525474,-1.73610106419253e-05,1,16
0.008333333333333333,0.007293517199555901,-6.284895725552251e-05,0.00833294753622253,-6.944283694904074e-05,1,16
0.0125,0.012219540472414529,-0.00010744371048332355,0.012498697957356166,-0.00015624186214868718,1,16
0.016666666666666666,0.016876745305757862,-0.00015259300710705127,0.01666358041837681,-0.0002777520585657278,0,0
0.020833333333333332,0.021406593363512843,-0.0002004895230377562,0.020827305693009543,-0.00043396498804093575,1,16
0.025,0.025947405320620207,-0.0002533412466984548,0.024989584635339165,-0.0006248698025168586,1,16
0.029166666666666667,0.03063443894694806,-0.0003133640845873559,0.029150128199889616,-0.0008504532447915492,0,0
0.03333333333333333,0.03560028329800485,-0.00038279302063427216,0.0333086474616965,-0.0011106996494388288,0,0
0.0375,0.0409746644682498,-0.00046387308809711755,0.03746485363637117,-0.001405590943896251,1,16
0.041666666666666664,0.04688439661224829,-0.0005588680282137913,0.041618458100155124,-0.0017351066497202638,1,16
0.04583333333333333,0.05217402676833851,-0.0006592189157549696,0.045769172409963164,-0.002099223884008128,1,16
0.05,0.058270798213597715,-0.0007782657249345351,0.04991670832341408,-0.0024979173609870897,1,16
0.05416666666666667,0.06401310187424224,-0.0009074855395287285,0.054060777818847335,-0.002931159393770477,1,16
0.058333333333333334,0.06954281448519402,-0.0010494101496383657,0.05820109311532449,-0.003398919896279995,1,16
0.0625,0.07627828838421279,-0.0012174250520202168,0.062337366692613846,-0.003901166385335497,1,16
0.06666666666666667,0.08304946925666838,-0.0014030877521833466,0.06646931131115703,-0.004437863982910295,1,16
0.07083333333333333,0.08998929228595332,-0.0016089270468445202,0.07059664003201609,-0.005008975418553718,1,16
0.075,0.0972281144098209,-0.0018375824643092808,0.07471906623679961,-0.005614461031978879,1,16
0.07916666666666666,0.104893232996991,-0.002091683477509846,0.07883630364756676,-0.006254278775816968,1,16
0.08333333333333333,0.11182929392349109,-0.0023630516155497853,0.08294806634670751,-0.0069283842185374755,1,16
0.0875,0.1194637754481842,-0.002665374373607602,0.08705406879679797,-0.007636730547533277,1,16
0.09166666666666666,0.12663525710528872,-0.002990521196518378,0.0911540258604292,-0.008379268572371756,1,16
0.09583333333333333,0.13476529042979862,-0.003352211983584883,0.09524765282000835,-0.009155946728210684,1,16
0.1,0.14268659285833393,-0.003742375649401416,0.09933466539753061,-0.009966711079379187,1,16
0.10416666666666667,0.15053516531636063,-0.004163960119677379,0.10341477977432052,-0.010811505323123138,1,16
0.10833333333333334,0.15844410445657486,-0.004619919528118772,0.10748771261074165,-0.01169027079351509,1,16
0.1125,0.1665429018069404,-0.005113257684849825,0.11155318106587273,-0.012602946465528342,1,16
0.11666666666666667,0.17495829212072425,-0.005647001042471866,0.11561090281714928,-0.013549468959274669,1,16
0.12083333333333333,0.18381395043274062,-0.006224211647119543,0.1196605960799693,-0.014529772544405739,1,16
0.125,0.1932304019641074,-0.006847995579448491,0.12370197962726147,-0.015543789144677633,1,16
0.12916666666666665,0.20204750709497205,-0.007510685762924799,0.12773477280901466,-0.01659144834267834,1,16
0.13333333333333333,0.19889632226470932,-0.008118058197889043,0.13175869557176753,-0.01767267738471806,1,16
0.1375,0.19307781850777245,-0.008750558297908285,0.13577346847805644,-0.018787401185881014,1,16
0.14166666666666666,0.20009584960370452,-0.00954185318518742,0.13977881272582077,-0.019935542335240197,1,16
0.14583333333333334,0.19682899342819177,-0.010298455157313452,0.14377445016776408,-0.021117021101232814,1,16
0.15,0.1912585409846715,-0.011089896553001723,0.14776010333066977,-0.02233175543719701,1,16
0.15416666666666667,0.19758350102155842,-0.012038947305830888,0.15173549543467,-0.023579660987069928,1,16
0.15833333333333333,0.19399741590302294,-0.012922715265792317,0.15570035041246616,-0.02486065109124541,1,16
0.1625,0.20120608435595821,-0.013918694754642092,0.15965439292850048,-0.026174636792592132,1,16
0.16666666666666666,0.19873766231963952,-0.01485648194795688,0.1635973483980761,-0.02752152684263115,1,16
0.17083333333333334,0.1945379805717098,-0.01580527281661083,0.16752894300642565,-0.028901227707872512,1,16
