Strategy,Total_Bits,Transmission_Rate (%),RMSE_J0,Max_Err_J0,RMSE_J1,Max_Err_J1,RMSE_J2,Max_Err_J2,RMSE_J3,Max_Err_J3,RMSE_J4,Max_Err_J4,RMSE_J5,Max_Err_J5,RMSE_J6,Max_Err_J6,Weighted_MSE_Cost
Ideal,1075200,100.0,1.491082646011784,4.429820664390799,1.7855230808660758,4.42653080660049,1.3094374392111823,3.4112624670176035,1.5910400678624448,4.374445553342779,0.5476594720762836,1.43133997845736,1.686097921917518,3.8629996996154863,0.8578560203652297,2.6738752263928784,6181.558222036972
ETC_Only,1073408,99.83333333333333,1.3380852965718715,3.5483828977283642,1.5488941995993057,4.707892055380415,1.3994417950667146,3.2951886468358653,1.3235212581250166,4.116903081393421,1.3789857890381292,3.3815401622601176,2.157610747539443,4.837931552798468,0.5230097604474518,1.5709633197772956,5181.197698082228
Uniform_ETC,67088,99.83333333333333,0.16445761158631014,0.44745299060995225,0.34402571188386527,0.7545890986878003,0.1919352535907811,0.5319481433929788,0.14869735638935505,0.5119558888224878,0.20637726137160722,1.0452002808489427,0.8944762440035195,1.5312888779434566,0.33031230135917733,2.4120748642276673,154.81057233120703
LQR_Weighted_ETC,67088,99.83333333333333,0.14253316125997784,0.3718344235356714,0.3079628560698128,0.7326412299545975,0.1640935764329346,0.36076750316520717,0.16693868821758417,1.2205329446384585,0.15203786346750986,0.8712315929566935,0.9442688997725683,1.532578614223314,0.22641034974235033,0.8884161809437681,125.34912946537673
PPO_RL_Dynamic,67088,99.83333333333333,0.21977235862412534,0.5160536493289894,0.39679227593363875,1.060531102208547,0.2207800980651571,0.5475753133090406,0.338055392873519,1.3767494224937908,0.2899929376074653,1.342832422119301,0.93365962649023,1.5176994220796063,0.43053565324713206,1.9069483755404266,234.5907525118988
