time,triggered,bits_used,q0_real,q0_target,q1_real,q1_target,q2_real,q2_target,q3_real,q3_target,q4_real,q4_target,q5_real,q5_target,q6_real,q6_target
0.0,1,896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004166666666666667,1,896,-3.479932281456557e-08,-1.821589401849405e-16,-2.1066521989981656e-07,0.0001019170744153826,5.188977436770354e-08,-1.3454697245345574e-16,-4.103488711094138e-07,8.385526276473769e-05,7.665383756683999e-08,-5.445736523118677e-16,-1.7475610407846952e-07,-0.00015214578397362304,-9.374428911779278e-08,-2.809944060909777e-16
0.008333333333333333,1,896,2.4525152318074313e-06,-7.286045487428889e-16,1.4069255024586064e-05,0.0004076508346953716,-1.9344994474666383e-05,-5.381648358825735e-16,-5.568995272299738e-05,0.00033540668289125863,-4.472899962850579e-05,-2.178201299354935e-15,-0.002555331347513985,-0.0006085570664974655,7.543359896983816e-05,-1.1239294774186369e-15
0.0125,1,896,4.6915291900160056e-05,-1.6392431950320759e-15,0.0004786961306518532,0.0009171488949341472,4.421411749515463e-06,-1.2107844324443939e-15,0.0017726398162575875,0.0007546111583387822,0.001055757637904422,-4.900603027442259e-15,0.013522044058569794,-0.0013691556438480018,-0.01220699654603066,-2.5286607813981745e-15
0.016666666666666666,1,896,-0.0003797283755774962,-2.9139188458083714e-15,-0.0017176371753185257,0.0016303239552619522,0.001880085879146806,-2.1522905122336506e-15,-0.011001106260814608,0.0013413968605784793,-0.09022887350940538,-8.71131236705249e-15,-0.1314812546372521,-0.0024338111913745175,0.404459670120636,-4.494947624552124e-15
0.020833333333333332,1,896,0.003588901761649047,-4.552413091961036e-15,0.007628651391796913,0.002547053816803619,-0.22881048207579197,-3.362521753030438e-15,0.1169592865096859,0.0020956632469010398,0.3264377931572613,-1.3609676372757788e-14,0.28518541202941455,-0.003802341285829783,-0.012206996546030666,-7.022453093752341e-15
0.025,1,896,-0.30836887004721353,-6.5544451859360205e-15,0.01817332400557985,0.0036671814026167323,0.1878561845908747,-4.84127078794196e-15,0.03115438051571738,0.0030172810776441577,-0.09022887350940537,-1.9594855735102734e-14,-0.1314812546372521,-0.005474511436627355,0.404459670120636,-1.011074411394837e-14
0.029166666666666667,1,896,0.10829779661945313,-8.919672089840438e-15,0.11680781690627096,0.004990514784605854,-0.22881048207579197,-6.5882842409336515e-15,0.38699760300759456,0.004106092438337004,0.3264377931572613,-2.666582492441516e-14,0.28518541202941455,-0.007450035126020192,-0.012206996546030666,-1.375929152237235e-14
0.03333333333333333,1,896,-0.08807870160083382,-1.1647688534220897e-14,0.17820958069193293,0.006516827216408727,0.1878561845908747,-8.603262770244268e-15,0.3301104441658532,0.0053619107667583115,-0.09022887350940537,-3.482137236652704e-14,-0.1314812546372521,-0.009728573858194449,0.404459670120636,-1.7967470159209198e-14
0.0375,1,896,-0.17150294605408226,-1.4738027087502948e-14,0.34279488997600244,0.008245857172247321,-0.22881048207579197,-1.0885861119675526e-14,0.7455886177019814,0.006784520884902211,0.3264377931572613,-4.406010065036732e-14,0.28518541202941455,-0.012309737217267839,-0.012206996546030666,-2.2734558974712374e-14
0.041666666666666664,1,896,-0.0720529682818063,-1.819015823608502e-14,0.37551717935640244,0.010177308391740011,-0.3833835296174804,-1.3435688177751416e-14,0.6967217512418037,0.008373679035848774,-0.09022887350940537,-5.438042676740696e-14,-0.1314812546372521,-0.015193082934187009,0.404459670120636,-2.8059741152755037e-14
0.04583333333333333,1,896,-0.20822761037696935,-2.20034904750661e-14,0.4102859240767834,0.012310849930663293,-0.6207113283563414,-1.625230704473184e-14,0.960540768032276,0.010129112925529692,0.3264377931572613,-6.578058238289401e-14,0.28518541202941455,-0.018378116962506595,-0.012206996546030666,-3.394210425078459e-14
0.05,1,896,-0.14700064510372673,-2.6177370409598388e-14,0.4200152020212919,0.014646116217658123,-0.8775081163965975,-1.933523510747413e-14,0.9045815965769968,0.01205052176938509,-0.09022887350940537,-7.825861413885269e-14,-0.1314812546372521,-0.021864293563042664,0.404459670120636,-4.038064035616708e-14
0.05416666666666667,1,896,-0.24724551684921145,-3.0711082866842295e-14,0.40867878263716456,0.017182707116868208,-1.1550040524635328,-2.268394412212569e-14,1.1848882697868333,0.014137576343901012,0.3264377931572613,-9.181238398877873e-14,0.28518541202941455,-0.025651015397381603,-0.012206996546030666,-4.7374246258886526e-14
0.058333333333333334,1,896,-0.1797149853599811,-3.560385101850772e-14,0.417846310899181,0.01992018799650128,-1.4798440866860636,-2.6297860304635942e-14,1.1626324238636463,0.016389919043020226,-0.09022887350940537,-1.0643956956398281e-13,-0.1314812546372521,-0.029737633630231054,0.404459670120636,-5.4921723640574423e-14
0.0625,1,896,-0.20648389237503562,-4.0854836513960125e-14,0.4102911215313386,0.022858089803301323,-1.7553976303343966,-3.017636442907166e-14,1.4653009650435513,0.018807163939416425,0.3264377931572613,-1.2213766457151825e-13,0.28518541202941455,-0.034123448040594966,-0.012206996546030666,-6.302177927983627e-14
0.06666666666666667,1,896,-0.16251293135434908,-4.646313962386663e-14,0.47628319270064257,0.025995909142917883,-2.057977341965675,-3.431879193371742e-14,1.4418295192089283,0.021388896850620443,-0.09022887350940537,-1.3890397922361833e-13,-0.1314812546372521,-0.03880770714175203,0.404459670120636,-7.167302527383686e-14
0.07083333333333333,1,896,-0.16861888256185356,-5.242779939436155e-14,0.552204746150503,0.029333108366160984,-2.2828316389740557,-3.872443303494602e-14,1.6596992135620765,0.024134675409989016,0.3264377931572613,-1.567356406985824e-13,0.28518541202941455,-0.043789608310020385,-0.012206996546030666,-8.087397927611279e-14
0.075,1,896,-0.20670439318031264,-5.874779381169888e-14,0.6928784285132776,0.032869115661123396,-2.530382926596707,-4.339253284883471e-14,1.5322905756113625,0.027044029142501074,-0.09022887350940537,-1.7562959363301288e-13,-0.1314812546372521,-0.04906829792228134,0.404459670120636,-9.062306475056163e-14
