time,triggered,bits_used,q0_real,q0_target,q1_real,q1_target,q2_real,q2_target,q3_real,q3_target,q4_real,q4_target,q5_real,q5_target,q6_real,q6_target
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004166666666666667,0,0,-3.479932281456557e-08,-1.821589401849405e-16,-2.1066521989981656e-07,0.0001019170744153826,5.188977436770354e-08,-1.3454697245345574e-16,-4.103488711094138e-07,8.385526276473769e-05,7.665383756683999e-08,-5.445736523118677e-16,-1.7475610407846952e-07,-0.00015214578397362304,-9.374428911779278e-08,-2.809944060909777e-16
0.008333333333333333,1,56,2.3012966509979613e-06,-7.286045487428889e-16,1.3913042705334629e-05,0.0004076508346953716,-1.9279899419065036e-05,-5.381648358825735e-16,-5.616367509249468e-05,0.00033540668289125863,-4.3613527926055875e-05,-2.178201299354935e-15,-0.002557226731390644,-0.0006085570664974655,6.0915838997791355e-05,-1.1239294774186369e-15
0.0125,1,56,9.215160221751275e-05,-1.6392431950320759e-15,0.0005623857512431689,0.0009171488949341472,6.451867577631591e-05,-1.2107844324443939e-15,0.002166358205006666,0.0007546111583387822,0.00030772244518375327,-4.900603027442259e-15,0.018771499231295494,-0.0013691556438480018,-0.000674415937235324,-2.5286607813981745e-15
0.016666666666666666,1,56,-0.00016384197441068917,-2.9139188458083714e-15,-0.0009811659257667918,0.0016303239552619522,-0.00046799807402294474,-2.1522905122336506e-15,-0.00572418386215846,0.0013413968605784793,-0.0015534846545691998,-8.71131236705249e-15,-0.08685641083940412,-0.0024338111913745175,0.004303979279981911,-4.494947624552124e-15
0.020833333333333332,1,56,0.00025675495971653193,-4.552413091961036e-15,0.0016405811151162788,0.002547053816803619,-0.0004184653979679487,-3.362521753030438e-15,0.0032619519901972986,0.0020956632469010398,0.029622003341277046,-1.3609676372757788e-14,-0.059087110730002806,-0.003802341285829783,-0.41236268738668475,-7.022453093752341e-15
0.025,1,56,0.00010647405074902739,-6.5544451859360205e-15,0.0009500206341888754,0.0036671814026167323,0.03357887249457056,-4.84127078794196e-15,-0.00828779647807047,0.0030172810776441577,-0.30349392596443636,-1.9594855735102734e-14,-0.18343960721019023,-0.005474511436627355,0.004303979279981916,-1.011074411394837e-14
0.029166666666666667,1,56,0.021449817801491473,-8.919672089840438e-15,0.004469092778954784,0.004990514784605854,-0.04540508649212232,-6.5882842409336515e-15,0.0014202613747438166,0.004106092438337004,-0.2665149451981494,-2.666582492441516e-14,-0.17549519318928883,-0.007450035126020192,-0.41236268738668475,-1.375929152237235e-14
0.03333333333333333,1,56,0.0018977329325795505,-1.1647688534220897e-14,0.0041243742392405676,0.006516827216408727,-0.03652713282663509,-8.603262770244268e-15,-0.007851100618181103,0.0053619107667583115,-0.5377736756724187,-3.482137236652704e-14,-0.3148980664408761,-0.009728573858194449,0.004303979279981916,-1.7967470159209198e-14
0.0375,1,56,0.0118539206971966,-1.4738027087502948e-14,0.0066223126620474845,0.008245857172247321,-0.20744886056586437,-1.0885861119675526e-14,-0.00010361020740154355,0.006784520884902211,-0.2087018023713361,-4.406010065036732e-14,-0.3369005723521396,-0.012309737217267839,-0.41236268738668475,-2.2734558974712374e-14
0.041666666666666664,1,56,-0.028543984975036425,-1.819015823608502e-14,0.008787663512698817,0.010177308391740011,-0.2301400338829,-1.3435688177751416e-14,0.007154531506931792,0.008373679035848774,-0.2722163126637097,-5.438042676740696e-14,-0.28321576932140746,-0.015193082934187009,0.004303979279981916,-2.8059741152755037e-14
0.04583333333333333,1,56,-0.0795174035211052,-2.20034904750661e-14,0.006846872617480988,0.012310849930663293,-0.21962980215607097,-1.625230704473184e-14,0.0015601405583812401,0.010129112925529692,-0.1427722924636396,-6.578058238289401e-14,-0.3860497536179227,-0.018378116962506595,-0.41236268738668475,-3.394210425078459e-14
