#{"t_start": 1775959733.6788962, "env_id": "None"}
r,l,t
-8215.350945,63,4.703349
-8752.256098,71,4.717023
-11873.140863,90,4.734202
-12410.942158,105,4.754387
-4697.580678,31,4.760367
-6037.668343,49,4.769655
-10350.463529,84,4.785509
-8513.854048,72,4.800375
-10064.118977,82,4.81693
-11340.015704,80,4.832143
-10574.797954,80,4.847321
-8348.676566,72,4.860927
-7101.425605,62,4.872557
-6328.211093,52,4.882532
-5585.665768,44,4.891078
-11684.573282,84,4.907762
-7915.72858,76,4.922663
-11898.944434,92,4.940048
-8137.777972,65,4.952378
-8555.353475,80,4.967522
-4554.466322,41,4.975325
-7967.494007,66,4.987831
-8414.567953,73,5.001724
-12105.923489,94,5.454194
-7903.675114,72,5.468062
-8070.293562,69,5.481303
-10901.171842,92,5.499049
-9846.682642,64,5.511281
-9656.16979,84,5.527508
-7286.501444,62,5.540271
-8077.894195,62,5.552501
-6138.939094,51,5.562274
-5775.173232,45,5.570977
-4734.84209,41,5.578825
-7919.578115,66,5.591578
-9187.899981,77,5.606388
-5070.908136,47,5.615732
-7087.161336,52,5.625589
-8232.654218,69,5.638642
-4712.277696,34,5.646023
-5594.619786,48,5.655604
-8711.716708,70,5.669088
-9348.206935,82,5.684712
-10197.250701,88,5.701596
-8011.66674,54,5.712095
-8176.065149,62,5.724065
-7247.292669,65,5.736326
-7126.510498,59,5.748258
-9165.429545,75,5.762608
-8332.828958,60,5.774368
-10183.596249,76,5.788899
-10809.597483,90,5.807591
-9239.102602,82,5.823604
-7602.548199,65,5.836334
-8620.496963,75,5.850345
-11221.398284,92,5.869131
-10316.520004,82,5.884839
-8944.196599,80,5.900036
-5958.10871,57,5.910927
-9417.660328,75,5.925009
-5426.404627,48,5.933987
-10113.746951,84,5.949637
-7710.428707,66,5.962776
-9125.267949,69,5.97649
-4480.796422,37,5.983813
-8383.273911,71,5.997387
-9395.608615,77,6.011995
-5220.736815,41,6.019835
-7091.907454,58,6.030875
-8708.607452,66,6.043424
-11362.790963,73,6.057477
-9520.406408,58,6.069396
-9684.657645,73,6.084175
-7625.091051,74,6.098499
-12417.330049,83,6.114506
-9046.830669,81,6.129995
-9374.147102,73,6.143963
-6580.729125,51,6.153841
-7423.717411,60,6.165445
-11814.586457,76,6.181258
-10933.743368,86,6.197896
-4023.810376,27,6.203077
-12701.077383,91,6.22046
-6098.260087,53,6.230597
-9228.012709,82,6.73187
-6870.328042,49,6.741456
-7863.678344,66,6.754189
-9891.536834,78,6.769349
-11746.545982,85,6.785553
-9744.02654,86,6.803862
-7259.721037,64,6.817101
-5926.22893,59,6.829013
-10251.40389,69,6.842773
-6598.251468,58,6.854403
-4979.902249,39,6.861885
-4880.203236,50,6.871759
-6283.739397,50,6.88139
-6387.831696,51,6.891052
-9388.582175,78,6.906683
-6014.572453,47,6.916101
-4960.723316,38,6.923396
-9374.184686,70,6.936885
-10147.302967,78,6.95175
-7288.265749,56,6.962317
-7965.741832,61,6.973934
-11312.705886,75,6.988115
-7004.165435,64,7.000367
-9906.917162,72,7.014738
-9588.779583,68,7.027809
-10846.251363,84,7.04405
-11417.179863,80,7.05928
-9611.743675,78,7.074554
-8734.145859,64,7.086831
-12166.887692,95,7.105332
-8729.900123,71,7.119706
-5536.610829,45,7.128415
-4810.264888,32,7.134859
-5827.286917,47,7.143894
-8527.787048,72,7.157771
-13051.796203,96,7.176096
-6934.504799,58,7.187211
-6405.785541,48,7.19634
-8542.613891,66,7.208637
-6638.987488,60,7.21992
-7459.693328,56,7.231772
-7260.918152,61,7.243495
-9937.432724,74,7.258338
-8305.618333,69,7.271575
-8796.404069,72,7.285242
-9149.666226,72,7.298994
-8148.982176,63,7.310965
-5042.805549,48,7.320079
-13540.311833,94,7.338923
-8868.087463,56,7.349759
-11708.634045,92,7.367144
-9962.415769,90,7.384308
-9400.734834,72,7.397811
-7840.699032,67,7.410349
-10493.276719,89,7.427201
-7043.196751,67,7.440916
-11089.936101,86,7.457667
-8594.517038,69,7.470865
-5281.666353,45,7.479526
-6116.648474,54,7.489866
-11532.494825,72,7.503605
-5869.553092,51,7.513221
-12174.454273,85,7.949498
-4710.664892,34,7.956129
-10224.121185,80,7.972727
-5770.661382,51,7.982896
-9846.054488,76,7.997313
-7394.89798,49,8.006498
-6309.033318,46,8.015182
-10087.731783,77,8.029685
-12299.132332,90,8.046719
-6735.898192,61,8.058431
-4626.113588,48,8.068492
-8860.046606,81,8.084388
-7847.186286,62,8.096151
-9710.070071,72,8.109767
-7646.064402,61,8.121422
-8824.518298,74,8.135401
-9005.994539,70,8.14858
-7647.369997,63,8.160419
-7136.191305,55,8.171737
-9188.981144,72,8.185868
-8603.296553,72,8.199545
-9365.465351,79,8.21436
-9085.775321,68,8.227129
-8964.798153,72,8.24064
-5887.063827,58,8.252198
-5008.848682,46,8.261196
-7032.406523,64,8.273395
-6782.372293,64,8.286543
-8321.858946,70,8.300086
-5601.800376,45,8.308908
-8133.648779,60,8.320473
-4319.838065,39,8.327981
-8941.598205,70,8.341538
-8165.304153,62,8.353478
-11323.111794,83,8.369348
-8747.739517,65,8.382533
-5206.726903,44,8.391128
-10213.174117,83,8.40702
-8223.318866,71,8.420505
-8818.371248,73,8.434304
-7162.032132,62,8.446064
-4776.401464,34,8.452469
-8453.477904,86,8.468672
-10034.720134,80,8.483755
-4813.440569,50,8.494344
-10567.682321,67,8.507165
-9516.42987,68,8.520152
-4171.563305,28,8.52549
-9405.85281,78,8.540159
-8067.382909,65,8.552599
-10844.062057,78,8.567666
-4583.542049,36,8.574597
-5241.551515,53,8.584805
-13686.450434,100,8.605523
-7818.844612,68,8.619149
-12459.917388,94,8.637293
-9755.388076,82,8.653503
-12071.754561,88,8.670658
-7906.329879,65,8.683214
-11185.81295,77,8.699143
-4517.266054,30,8.705224
-7749.791657,60,8.71692
-8654.903625,73,8.731078
-9719.74637,78,9.186775
-6701.704266,52,9.196653
-8121.563351,65,9.208791
-9726.635893,75,9.222707
-6119.442881,51,9.233544
-10202.513251,81,9.249856
-4791.285673,34,9.2565
-12291.73077,83,9.272343
-10705.915699,87,9.288859
-9907.284418,79,9.304039
-5912.102908,57,9.314952
-9185.435377,64,9.326913
-10468.403153,86,9.3443
-5359.526604,50,9.354329
-5367.400492,54,9.364817
-6676.768708,61,9.37653
-5970.444445,46,9.385408
-8908.780195,70,9.398833
-8388.128919,70,9.412212
-9948.749254,75,9.426438
-12274.449406,88,9.443909
-6687.629467,58,9.455182
-11613.101443,92,9.47277
-6977.749975,60,9.484233
-6806.228693,63,9.496335
-5747.701758,47,9.505326
-7676.461048,68,9.518615
-7496.335927,56,9.529305
-5529.129664,40,9.536944
-11879.712477,87,9.554405
-9611.462613,70,9.567796
-9813.533362,78,9.582603
-5587.570286,49,9.591964
-8545.542122,64,9.604095
-11802.395402,96,9.62219
-9825.284893,72,9.635757
-11516.871777,87,9.652854
-5118.690562,56,9.664212
-10762.412437,92,9.68135
-9068.151527,80,9.69631
-8443.949627,73,9.710255
-5827.494135,45,9.718864
-9813.403767,85,9.734965
-6889.078381,58,9.745946
-6983.050969,57,9.757754
-10925.822984,89,9.775082
-9400.98758,82,9.79055
-10875.739358,82,9.806725
-8224.84767,63,9.818926
-9693.215244,78,9.833755
-3491.551855,21,9.837833
-7615.393144,62,9.849833
-5046.81551,52,9.860623
-8286.141171,61,9.872662
-4743.291014,42,9.880852
-8127.488798,66,9.893474
-8546.094426,77,9.90828
-7602.378588,66,9.92094
-6894.509203,59,9.932231
-5779.283477,41,9.940087
-11896.940882,100,9.959171
-9575.884327,77,10.401544
-7831.762864,56,10.412201
-7988.522555,72,10.425697
-8016.690612,67,10.438186
-6817.84502,56,10.448952
-5712.550918,44,10.457492
-5147.448332,53,10.467758
-7983.933476,70,10.481172
-7643.835187,69,10.495146
-11810.047577,86,10.512052
-8144.358582,62,10.524197
-8097.177038,81,10.539535
-10337.064513,82,10.555243
-10423.982074,78,10.570343
-10420.785596,76,10.585004
-13525.588135,96,10.604289
-8897.960908,61,10.616049
-8427.731471,73,10.629942
-8469.346387,69,10.643416
-8669.954419,80,10.658902
-10201.376454,84,10.674803
-5690.85026,55,10.685181
-5774.443602,50,10.694681
-9944.527975,82,10.711546
-7885.238261,62,10.72361
-8185.499779,73,10.737552
-5678.843438,55,10.747928
-4896.084106,38,10.75514
-6727.995689,50,10.764695
-6296.500422,59,10.776035
-8485.695526,69,10.789262
-9522.576333,75,10.804235
-7269.849217,60,10.817146
-7123.758835,58,10.82852
-5667.063097,57,10.839518
-11197.262,90,10.85648
-12957.537211,91,10.87371
-7320.152884,56,10.884283
-8388.364177,68,10.897049
-5561.194856,41,10.904771
-5131.541999,48,10.91458
-8152.752913,70,10.928155
-10638.101433,86,10.944468
-12104.378596,92,10.961756
-10693.063824,76,10.976098
-5277.808452,32,10.982179
-8834.925173,66,10.994564
-9482.907159,80,11.009489
-9834.717771,82,11.025942
-9115.999701,69,11.039159
-10749.065397,85,11.055488
-7833.416896,64,11.067796
-5302.537562,42,11.075881
-10651.016031,80,11.091223
-5201.176598,50,11.100994
-6913.136811,64,11.113217
-8264.543612,71,11.127572
-7785.948508,68,11.140917
-9028.806002,69,11.154293
-10323.888231,78,11.169233
-11294.673695,90,11.618438
-10448.778795,66,11.63117
-9148.315355,60,11.642707
-5686.711834,50,11.653494
-8641.133484,66,11.666849
-7403.191617,71,11.680787
-8335.141473,61,11.692428
-12363.304819,90,11.709408
-8923.793011,80,11.724627
-7105.63017,70,11.737749
-11956.838125,81,11.752835
-8708.612541,79,11.769081
-8307.936948,72,11.782753
-6577.94996,51,11.792381
-7602.30413,72,11.806653
-9999.99692,80,11.822119
-9058.536613,72,11.835971
-6154.322149,62,11.847701
-10762.704973,98,11.86772
-6506.935861,55,11.878672
-5887.395179,56,11.890084
-6914.149943,67,11.903727
-7449.657345,64,11.916798
-12044.148443,91,11.934866
-8475.571421,80,11.950463
-7865.930809,62,11.962626
-8298.410368,62,11.976309
-11446.505602,96,11.994868
-10012.486991,78,12.010186
-12150.334784,92,12.027739
-6991.236889,64,12.040164
-10063.619633,79,12.055591
-4571.176878,40,12.063754
-10305.878858,80,12.081525
-9890.142803,86,12.09858
-8952.041811,73,12.112591
-5168.455118,49,12.122563
-10623.961612,76,12.137504
-11105.017205,75,12.151723
-9596.361718,73,12.165753
-8768.662329,72,12.18102
-4685.460141,47,12.19026
-10428.132581,74,12.204899
-9605.993084,73,12.219059
-8560.529549,80,12.2344
-11332.389883,83,12.250625
-8909.580878,72,12.264622
-10400.031268,85,12.281588
-9535.217853,72,12.295441
-10850.950615,86,12.311911
