#{"t_start": 1775967785.2824872, "env_id": "None"}
r,l,t
-99.16221,72,3.682789
-37.750828,48,3.690906
-49.692367,72,3.702759
-27.546086,19,3.705924
-38.226368,35,3.711592
-63.31078,73,3.723667
-32.247073,38,3.73003
-39.189973,41,3.737458
-42.67855,47,3.745214
-40.56205,75,3.757291
-20.581382,26,3.76152
-53.631343,52,3.769803
-23.585657,20,3.773009
-119.363232,95,3.788052
-39.997035,34,3.793535
-24.501755,30,3.7986
-61.125219,70,3.809899
-69.712312,73,3.821635
-67.787205,82,3.834791
-47.300374,71,3.847344
-37.370274,45,3.855062
-40.174815,43,3.862127
-90.177643,84,3.876127
-25.709834,23,3.880024
-37.332902,35,3.885879
-24.163734,22,3.889516
-97.514457,100,3.905871
-35.517668,55,3.914906
-32.025611,41,3.921573
-34.555631,56,3.930569
-27.530012,39,3.936838
-40.514917,37,3.942818
-40.278185,46,3.951225
-28.308315,28,3.956375
-46.043285,61,3.966603
-31.941101,44,3.97401
-99.052846,91,3.989142
-55.574073,58,3.998729
-91.776192,99,4.014871
-36.267555,32,4.020118
-52.417091,64,4.030439
-40.507905,46,4.037883
-72.767823,72,4.049484
-26.813238,32,4.055451
-32.228665,54,4.064905
-61.060188,73,4.076661
-56.108636,75,4.088937
-49.811505,70,4.100202
-85.158214,108,4.11759
-41.225606,48,4.125267
-76.000604,66,4.135849
-100.575534,106,4.152902
-51.259649,70,4.165164
-43.112088,58,4.174503
-24.324558,28,4.179006
-24.131987,27,4.183526
-44.034878,40,4.189981
-76.571218,68,4.200933
-38.549979,42,4.207725
-51.446709,68,4.218972
-34.682105,45,4.499185
-128.611519,64,4.509985
-66.312184,54,4.518914
-86.57679,78,4.531802
-27.906117,33,4.537259
-36.831862,76,4.550425
-38.147347,43,4.557673
-68.188996,58,4.568344
-62.203615,87,4.584765
-42.085978,38,4.591633
-27.545398,32,4.59743
-44.70947,42,4.604417
-27.094356,30,4.609428
-58.160838,44,4.616896
-71.398661,87,4.630977
-69.773156,78,4.643786
-50.297295,69,4.655558
-37.070233,76,4.668151
-39.879822,42,4.675075
-61.741348,93,4.691153
-43.430211,34,4.697083
-55.790908,65,4.707674
-63.749531,66,4.718575
-45.230762,49,4.726554
-21.13839,23,4.730297
-56.987924,50,4.738253
-55.541036,75,4.750362
-26.731822,27,4.754901
-29.381718,28,4.759443
-35.457292,57,4.769009
-34.324231,27,4.773599
-24.859355,38,4.779907
-31.064626,49,4.787944
-32.439084,20,4.791334
-21.883005,32,4.79765
-42.824123,59,4.807545
-35.236625,31,4.812563
-34.359371,61,4.822569
-31.791395,35,4.828297
-52.088769,57,4.837964
-63.203187,56,4.847358
-79.11305,88,4.861676
-24.145009,33,4.867193
-27.566584,31,4.872364
-31.549638,38,4.878659
-61.692017,93,4.894069
-60.418559,78,4.907721
-46.035623,48,4.915929
-47.407957,47,4.923737
-23.13495,20,4.927108
-46.232831,78,4.939739
-55.984265,53,4.94847
-90.62547,91,4.963416
-41.050575,29,4.968251
-48.076519,31,4.973429
-33.66948,36,4.979438
-38.675945,40,4.986146
-43.483165,60,4.995945
-46.51106,70,5.008414
-28.051888,30,5.013752
-61.196695,75,5.025925
-117.965989,101,5.042172
-32.855776,47,5.050051
-48.929366,37,5.056306
-39.46526,36,5.062264
-59.49812,65,5.072985
-94.221389,94,5.088174
-81.852786,79,5.100699
-20.931837,33,5.106023
-25.369383,26,5.11105
-23.711381,24,5.114954
-37.41591,52,5.123574
-54.120765,64,5.134055
-75.683125,68,5.144924
-89.47424,100,5.160933
-49.261903,46,5.168268
-27.460964,38,5.174428
-58.780352,49,5.4555
-27.39009,27,5.460202
-32.47251,57,5.469807
-43.507915,52,5.478221
-35.552487,46,5.485693
-29.798309,52,5.494075
-75.899196,96,5.509893
-46.927123,62,5.520117
-61.440644,56,5.529425
-86.428304,89,5.545163
-30.503312,33,5.550823
-52.841532,55,5.559945
-69.22165,97,5.575761
-60.89819,64,5.586393
-68.14344,63,5.597617
-79.339242,85,5.611735
-53.893751,64,5.622989
-50.815427,61,5.63339
-87.64381,119,5.653994
-53.570541,77,5.666519
-34.380279,47,5.674005
-60.351871,69,5.685336
-18.920418,28,5.690123
-27.765391,34,5.695874
-31.934343,36,5.701743
-53.135804,40,5.708087
-46.931887,59,5.717445
-78.882429,100,5.7332
-79.141829,76,5.746138
-83.287189,113,5.764747
-24.367976,23,5.768527
-54.056194,56,5.777569
-37.989027,45,5.784893
-46.811595,63,5.794872
-93.35862,80,5.807686
